location,area,new/resale,furnished,price
sector 5 Mubarikpur road derabassi,1520,1,0,3235000
Mohali Sector 127,800,1,1,3290000
sector 5 Mubarikpur road derabassi,1200,1,0,2475000
Kharar Mohali,990,1,0,3480000
Zirakpur punjab,1242,1,0,4095000
Zirakpur punjab,1737,1,0,6300000
Zirakpur Road,1710,1,0,6100000
Airport Road,1737,1,0,6000000
Zirakpur Road,1737,1,0,6000000
Patiala Road Zirakpur,990,1,0,3450000
Zirakpur Road,1773,1,0,6390000
Chandigarh International Airport,1550,1,0,11155000
Airport Road,1710,1,0,6490000
Zirakpur punjab,1600,1,0,6000000
Ambala Highway,1737,1,0,6390000
Patiala Road,1800,1,0,6690000
Zirakpur Road,1050,1,0,2950000
Zirakpur Road,1710,1,0,6000000
Ambala Highway,1737,1,0,6390000
Zirakpur punjab,1638,1,0,7390000
Zirakpur Road,2250,1,0,8800000
Zirakpur Road,2250,1,0,8800000
Mohali Sector 127,930,1,0,2790000
Mohali Sector 127,930,1,0,2790000
Kharar Mohali,990,1,0,3490000
Mohali Sector 127,963,1,1,3290000
SEC 115 MOHALI KHARAR LANDRAN ROAD,990,1,1,2990000
Mohali Sector 127,810,1,1,2390000
85 Mohali Stadium Road,2150,1,0,6211000
Mohali Sec 118,1625,1,0,6700000
Mohali Sec 125,1020,1,0,2490000
Sector 80,1000,0,0,5400000
DLF Mullanpur,2250,1,1,9390000
Zirakpur GAzipur Road,1000,1,0,2690000
Aerocity Road,1510,1,0,5290000
Zirakpur GAzipur Road,1000,1,0,2690000
Sector 28,2600,1,0,38000000
sector 5 Mubarikpur road derabassi,1120,1,0,2475000
SEC 115 MOHALI KHARAR LANDRAN ROAD,900,1,1,1890000
Mohali Sec 125,900,1,1,2090000
Mohali Sec 125,900,1,1,2090000
Mohali Sec 125,900,1,1,2090000
SECTOR 115 MOHALI ON KHARAR LANDRAN ROAD,650,1,1,1590000
Mohali Sector 127,600,1,1,1990000
Mohali Sector 127,1215,1,1,3790000
Mohali Sector 127,630,1,1,1790000
SEC 115 MOHALI KHARAR LANDRAN ROAD,900,1,1,1890000
sector 5 Mubarikpur road derabassi,1120,1,0,2475000
Dera Bassi,1550,1,0,3590000
Dera Bassi,1550,1,0,3590000
Sector 67,1800,0,0,9500000
Sector 67,1800,0,0,9500000
Mohali Sector 127,810,1,0,3890000
Mohali Sector 127,540,1,0,1690000
DLF Mullanpur,2250,1,1,9390000
DLF Mullanpur,2250,1,0,7990000
Mohali Sector 127,540,1,1,1590000
